example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.28497 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01148 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01287 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.01117 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.0355 seconds  |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01371 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.01415 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.01562 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.01603 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.0273 seconds  |
./spec/features/calculations_spec.rb[11:1] | passed | 0.01207 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.0114 seconds  |
./spec/features/calculations_spec.rb[13:1] | passed | 0.01208 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.01141 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.02295 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.06494 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.0266 seconds  |
./spec/features/calculations_spec.rb[18:1] | passed | 0.02974 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01338 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.01014 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.01288 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.01037 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.01122 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.02276 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.01057 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.02536 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.03006 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.13614 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.07396 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.07803 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.03544 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.03834 seconds |
./spec/features/calculations_spec.rb[33:1] | failed | 0.03787 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.03482 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.03896 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.04011 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.03277 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.03418 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.03562 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.03868 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.03247 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.0109 seconds  |
./spec/features/calculations_spec.rb[43:1] | failed | 0.01022 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.01093 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.01025 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.01004 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.0099 seconds  |
./spec/features/calculations_spec.rb[48:1] | failed | 0.0108 seconds  |
./spec/features/calculations_spec.rb[49:1] | failed | 0.01029 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.01077 seconds |
